Over_Ball,Batting_Team,Bowling_Team,Stadium,Runs_Scored,Extras,Fallen_Wickets,Cumulative_Runs_Scored
19.7,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,2,0,6,154
3.6,Islamabad United,Lahore Qalandars,National Stadium Karachi,6,0,2,55
19.5,Karachi Kings,Quetta Gladiators,National Stadium Karachi,2,0,5,188
11.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,2,75
13.5,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,1,0,5,84
11.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,1,63
0.5,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,1,2
18.6,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,1,0,5,168
13.4,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,0,0,3,150
15.4,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,2,0,3,158
13.4,Peshawar Zalmi,Lahore Qalandars,Dubai International Cricket Stadium,1,0,3,103
9.1,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,1,0,3,60
10.7,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,0,0,3,85
16.6,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,0,0,3,154
4.6,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,35
10.3,Peshawar Zalmi,Lahore Qalandars,Dubai International Cricket Stadium,1,0,2,81
16.3,Multan Sultans,Karachi Kings,Multan Cricket Stadium,2,0,3,151
9.1,Lahore Qalandars,Quetta Gladiators,Dubai International Cricket Stadium,0,0,5,83
13.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,3,87
19.4,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,2,0,6,146
10.6,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,0,0,4,56
17.4,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,0,0,7,125
6.2,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,1,0,3,46
10.4,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,2,0,3,78
3.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,24
18.1,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,1,0,5,134
16.3,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,1,0,6,104
1.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,4,0,0,14
16.5,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,4,113
10.1,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,6,0,0,100
19.3,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,1,0,4,177
11.2,Islamabad United,Quetta Gladiators,Sharjah Cricket Stadium,0,0,3,80
2.6,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,0,0,1,8
5.6,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,1,0,2,32
8.2,Karachi Kings,Peshawar Zalmi,Dubai International Cricket Stadium,2,0,4,37
10.5,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,0,0,3,105
2.3,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,10
15.4,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,2,117
11.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,4,81
12.6,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,1,0,3,129
3.1,Islamabad United,Lahore Qalandars,National Stadium Karachi,4,0,2,41
1.3,Multan Sultans,Karachi Kings,Multan Cricket Stadium,0,1,0,4
16.4,Peshawar Zalmi,Islamabad United,National Stadium Karachi,0,0,8,117
3.3,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,0,24
9.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,1,45
12.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,3,83
13.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,3,85
7.1,Islamabad United,Lahore Qalandars,National Stadium Karachi,1,0,2,80
1.1,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,0,8
16.4,Lahore Qalandars,Multan Sultans,Gaddafi Stadium Lahore,1,0,6,113
0.3,Lahore Qalandars,Karachi Kings,Sharjah Cricket Stadium,2,0,0,2
8.4,Islamabad United,Multan Sultans,Rawalpindi Cricket Stadium,0,1,6,84
16.1,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,2,0,3,146
4.3,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,26
13.5,Quetta Gladiators,Islamabad United,Sheikh Zayed Stadium Abu Dhabi,1,0,3,120
2.3,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,1,0,1,15
